harmes, harms,'’
harnesse, harness,'’
harpe, harp,'’
hast, haste,'’
hastely, hastily,'’
hastilie, hastily,'’
hastinesse, hastiness,'’
hateth,'’,'’
haveing, having,'’
hawkes, hawks,'’
hayre, hair,'’
heale, heal,'’
healthfull, healthful,'’
heape, heap,'’
hearbes, herbes,'’
hearbs, herbs,'’
heardsman, herdsman,'’
heare, hear,'’
hearest,'’,'’
heareth,'’,'’
heate, heat,'’
heaven, '','’
Hecades, Hecate,'’
Hecate,'’,'’
hee, he,'’
heede, heed,'’
heele, heel,'’
heeles, heels,'’
heere, here,'’
heire, heir,'’
hel, hell,'’
Hell,'’,'’
helpe, help,'’
helpest,'’,'’
Hemes, Hemus, publisher error
Hemus,'’,[character] thief alias
hennes, hens,'’
Henry,'’,'’
herbe, herb,'’
herbes, herbs,'’
Hercules,'’,'’
hereon,'’, on this place
Hermagoras,'’,'’
hero's,'’,'’
Herodotus,'’,'’
hew, hue,'’
heynous, heinous,'’
Heywood,'’,'’
hiew, hue,'’
high way, highway,'’
high-house,'’,'’
high-shoes,'’,'’
high-shooes, high-shoes,'’
high-sounding,'’,'’
hilles, hills,'’
hils, hills,'’
himselfe, himself,'’
hind,'’, red doe
hinde, hind,'’
Hipata,Hypata,'’
Hipate,Hypata,'’
Hypata, '', town now called Ypati
Hiperborian, Hyperborian,'’
Hipparchus,'’,'’
Hippata,'’, place in Greece
Hipponoe, '',goddess aka Nereus
hisse, hiss,'’
historie, history,'’
hoare, hoar,'’
Hoe, ho,'’
hogge, hog,'’
holdeth,'’,'’
Holland,'’,'’
Homer,'’,'’
homine, '', [latin]
hominem, '', [latin]
honney, honey,'’
honourably, honorably,'’
hony, honey,'’
hoofe, hoof,'’
hoofes, hooves,'’
hookes, hooks,'’
hopest,'’,'’
hopeth,'’,'’
hore-frost, hoarfrost,'’
horne, horn,'’
hornes, horns,'’
horsebacke, horseback,'’
horsekeeper,'’,'’
horsemills, horse mills, from wiki
hory, horry,'’
hostesse, hostess,'’
houre, hour,'’
